Run,Months,Total_Invested_USD,Final_Portfolio_USD,Profit_USD,Multiple,CAGR,Annual_Vol,Sharpe,Sortino,Max_Drawdown,Calmar,Win_Rate,Avg_Monthly_Turnover,Max_Underwater_Months,Final_NAV_Multiple,Strategy,Mode,Display
K=3 / K=4 / K=5 (same),437,4370000.0,50767365.26791425,46397365.26791425,11.61724605673095,0.11170766228882512,0.14726321348852828,0.7585578206707209,1.3119123868685127,-0.5094876777779151,0.2192548851741186,0.6613272311212814,0.002288329519450801,73,47.29598918125296,buy_and_hold,baseline,B0 — SPXT buy & hold
K=4 hard,437,4370000.0,19174566.423642285,14804566.423642285,4.387772636989081,0.07513470586575632,0.08857110692549545,0.8482981468094148,1.499079588974066,-0.22654312481903727,0.3316574092715193,0.6407322654462243,0.32997711670480545,50,13.98856809924543,bond_floor_tactical,hard,K=4 hard | bond floor tactical (hard)
K=5 hard,437,4370000.0,22644736.62308838,18274736.62308838,5.1818619274801785,0.08351646311366046,0.08362548623644891,0.9986962931075797,1.8567362051235023,-0.21470299743845445,0.3889860137495324,0.6567505720823799,0.16659038901601828,41,18.560655826093036,bond_floor_tactical,hard,K=5 hard | bond floor tactical (hard)
B0 — SPXT B&H,437,4370000.0,50767365.26791425,46397365.26791425,11.61724605673095,0.11170766228882512,0.14726321348852828,0.7585578206707209,1.3119123868685127,-0.5094876777779151,0.2192548851741186,0.6613272311212814,0.002288329519450801,73,47.29598918125296,bond_floor_tactical,soft,B0 — SPXT B&H | bond floor tactical (soft)
B1 — EW3 B&H,437,4370000.0,16947973.111061007,12577973.111061007,3.878254716489933,0.07051687399269646,0.07828330335307919,0.9007907302358716,1.5234827946686567,-0.33132289355604483,0.2128342935673662,0.6636155606407322,0.002288329519450801,39,11.95906572753724,bond_floor_tactical,soft,B1 — EW3 B&H | bond floor tactical (soft)
K=3 soft,437,4370000.0,17510093.075940937,13140093.075940937,4.006886287400672,0.0745014525897274,0.08031177759777089,0.927652890001469,1.7082870895518403,-0.20725407054641842,0.3594691886789331,0.6498855835240275,0.16055477477625843,39,13.691630473725036,bond_floor_tactical,soft,K=3 soft | bond floor tactical (soft)
K=4 soft,437,4370000.0,19357214.582415015,14987214.582415015,4.4295685543283785,0.0758062676119522,0.08627217673765125,0.8786873181892084,1.5501302225325093,-0.23188182382302047,0.3269176788509734,0.6544622425629291,0.2722269403737486,71,14.310310407232095,bond_floor_tactical,soft,K=4 soft | bond floor tactical (soft)
K=5 soft,437,4370000.0,23621403.850842036,19251403.850842036,5.405355572275066,0.0840945463470737,0.07853618681356064,1.0707745022903672,2.0013405037898946,-0.20095947821285598,0.41846519056941855,0.6727688787185355,0.16444469891078978,41,18.924702644942183,bond_floor_tactical,soft,K=5 soft | bond floor tactical (soft)
B0 — SPXT B&H,437,4370000.0,50767365.26791425,46397365.26791425,11.61724605673095,0.11170766228882512,0.14726321348852828,0.7585578206707209,1.3119123868685127,-0.5094876777779151,0.2192548851741186,0.6613272311212814,0.002288329519450801,73,47.29598918125296,all_weather_defensive,hard,B0 — SPXT B&H | all weather defensive (hard)
B1 — EW3 B&H,437,4370000.0,16947973.111061007,12577973.111061007,3.878254716489933,0.07051687399269646,0.07828330335307919,0.9007907302358716,1.5234827946686567,-0.33132289355604483,0.2128342935673662,0.6636155606407322,0.002288329519450801,39,11.95906572753724,all_weather_defensive,hard,B1 — EW3 B&H | all weather defensive (hard)
K=3 hard,437,4370000.0,18884657.46516146,14514657.465161461,4.321431914224591,0.07763656122658613,0.09158725949842468,0.8476786143810919,1.4048659580558105,-0.29737963331738126,0.2610688578788036,0.6796338672768879,0.12128146453089245,73,15.224167647845732,all_weather_defensive,hard,K=3 hard | all weather defensive (hard)
K=4 hard,437,4370000.0,23201982.748113263,18831982.748113263,5.3093782032295795,0.08418098556821274,0.08958045802301387,0.939724884489718,1.6589121723580795,-0.24382662112900033,0.3452493627579552,0.6864988558352403,0.26773455377574373,48,18.97973096741407,all_weather_defensive,hard,K=4 hard | all weather defensive (hard)
