,Prob_Regime0,Prob_Regime1,Prob_Regime2,Regime_Candidate,Regime,Regime_Name
2011-04-30,0.8873539450659342,6.725127752888926e-07,0.11264538242129045,0,0,Defensive
2011-05-31,0.9843331305305398,3.362563876444461e-07,0.015666533213072497,0,0,Defensive
2011-06-30,0.9350727308257153,1.6812819382222493e-07,0.06492710104609092,0,0,Defensive
2011-07-31,0.9889465492673415,8.406409691111166e-08,0.011053366668561649,0,0,Defensive
2011-08-31,0.9944732761563015,4.203204845555586e-08,0.005526681811649876,0,0,Defensive
2011-09-30,0.9972366380781509,2.1016024227777935e-08,0.0027633409058249385,0,0,Defensive
2011-10-31,0.9986183190390754,1.0508012113888967e-08,0.0013816704529124692,0,0,Defensive
2011-11-30,0.9993091595195378,5.2540060569444845e-09,0.0006908352264562347,0,0,Defensive
2011-12-31,0.9996545797597689,2.627003028472242e-09,0.00034541761322811736,0,0,Defensive
2012-01-31,0.9998272898798845,1.313501514236121e-09,0.00017270880661405865,0,0,Defensive
2012-02-29,0.9999095971033914,6.567507571180606e-10,9.040223985778604e-05,0,0,Defensive
2012-03-31,0.9999563164904023,3.283753785590303e-10,4.368318122235926e-05,0,0,Defensive
2012-04-30,0.9999781582452012,1.6418768927951514e-10,2.184159061117963e-05,0,0,Defensive
2012-05-31,0.9999890791226005,8.209384463975756e-11,1.0920795305589813e-05,0,0,Defensive
2012-06-30,0.9999945395613002,4.104692231987878e-11,5.460397652794906e-06,0,0,Defensive
2012-07-31,0.9999972688857063,2.05234611599394e-11,2.7310937702048457e-06,0,0,Defensive
2012-08-31,0.9999986347784572,1.0261730579969696e-11,1.3652112811746506e-06,0,0,Defensive
2012-09-30,0.9990345751727908,5.1308652900026326e-12,0.0009654248220782662,0,0,Defensive
2012-10-31,0.9998757309769698,2.5654326449946487e-12,0.00012426902046485137,0,0,Defensive
2012-11-30,0.9999307853796374,1.2827163224973236e-12,6.921461907984546e-05,0,0,Defensive
2012-12-31,0.9999628702331166,6.413581612486618e-13,3.712976624208327e-05,0,0,Defensive
2013-01-31,0.9999835525441328,3.206790806243308e-13,1.644745554646393e-05,0,0,Defensive
2013-02-28,0.9881716437420813,1.603395403121654e-13,0.01182835625775832,0,0,Defensive
2013-03-31,0.9965509324865615,8.016977015608276e-14,0.003449067513358408,0,0,Defensive
2013-04-30,0.961958245604975,4.008488507804138e-14,0.03804175439498498,0,0,Defensive
2013-05-31,0.9948747516629305,2.0042442539020678e-14,0.005125248337049435,0,0,Defensive
