,Prob_Regime0,Prob_Regime1,Prob_Regime2,Prob_Regime3,Regime_Candidate,Regime,Regime_Name
2004-01-31,1.2224639770131409e-05,1.139321246747051e-13,0.9229996990112788,0.07698807634883727,2,2,Steady State
2004-02-29,0.800006112319885,5.696606233735253e-14,0.16152615260182077,0.03846773507823717,0,0,Crisis
2004-03-31,0.10000305615994261,2.848303116867628e-14,0.8805308575749166,0.01946608626511241,2,2,Steady State
2004-04-30,0.050001528079971276,1.4241515584338135e-14,0.14035251080970593,0.8096459611103086,3,3,Walking on Ice
2004-05-31,0.02500076403998564,1.5012583258444283e-10,0.8694701082680194,0.1055291275418692,2,2,Steady State
2004-06-30,0.012500382019992835,1.8768399357227444e-11,0.13499994575495125,0.8524996722062874,3,3,Walking on Ice
2004-07-31,0.00625019100999641,9.38419967861371e-12,0.06749994046073975,0.9262498685198797,3,3,Walking on Ice
2004-08-31,0.0031250955049982035,4.692099839306854e-12,0.03376397044537733,0.9631109340449324,3,3,Walking on Ice
2004-09-30,0.0015625477524991022,2.3460499196534273e-12,0.016876735142060867,0.981560717103094,3,3,Walking on Ice
2004-10-31,0.0007812738762495514,1.1730249598267142e-12,0.6780823686956026,0.321136357426975,2,2,Steady State
2004-11-30,0.0003906369381247752,5.865124799133563e-13,0.08792647165084955,0.9116828914104392,3,3,Walking on Ice
2004-12-31,0.00019531846906238755,2.932562399566781e-13,0.043962572940591284,0.955842108590053,3,3,Walking on Ice
2005-01-31,9.765923453119386e-05,1.4662811997833918e-13,0.021981283653313432,0.9779210571120087,3,3,Walking on Ice
2005-02-28,4.8829617265596956e-05,7.331405998916963e-14,0.010990641859477703,0.9889605285231834,3,3,Walking on Ice
2005-03-31,2.4414808632798478e-05,3.665702999459232e-14,0.8054626315652145,0.1945129536261162,2,2,Steady State
2005-04-30,1.2207404316399246e-05,1.8328514997293357e-14,0.1027435742896932,0.897244218305972,3,3,Walking on Ice
2005-05-31,6.103702158199619e-06,9.164257498646672e-15,0.051371787144844805,0.9486221091529878,3,3,Walking on Ice
2005-06-30,3.051851079099809e-06,4.582128749323335e-15,0.0256858935724224,0.9743110545764939,3,3,Walking on Ice
2005-07-31,1.5259255395499061e-06,2.29106437466167e-15,0.3743057228143221,0.625692751260136,3,3,Walking on Ice
2005-08-31,7.629627697749525e-07,0.7999999999999873,0.05160432039663334,0.14839491664060958,1,1,Inflation
