,Prob_Regime0,Prob_Regime1,Prob_Regime2,Prob_Regime3,Prob_Regime4,Regime_Candidate,Regime,Regime_Name
1997-02-28,0.00014121993038185862,0.028928741457590456,0.23441522635159703,0.0685894085700908,0.6679254036903398,4,2,Steady State
1997-03-31,0.00011560600312935595,0.4871402660955422,0.18753090912901738,0.05487152685607042,0.2703416919162406,1,2,Steady State
1997-04-30,9.098837752344637e-05,0.12571375421791303,0.6140209569523419,0.04390099059592036,0.21627330985630128,2,2,Steady State
1997-05-31,7.279069858000134e-05,0.10057100337433048,0.33385163021807857,0.39248592852593867,0.17301864718307222,3,2,Steady State
1997-06-30,5.823256562516974e-05,0.08045680269946433,0.6703947803964536,0.11067526651417546,0.13841491782428147,2,2,Steady State
1997-07-31,4.658607097366676e-05,0.06436544215957145,0.43846971072577223,0.3863863268285363,0.11073193421514642,2,2,Steady State
1997-08-31,0.46403542484761245,0.05149419772412429,0.25624517557641135,0.1396396544797351,0.0885855473721169,0,0,Crisis
1997-09-30,0.10722938904849551,0.041194309008895744,0.6523099045105244,0.12839795953438687,0.0708684378976976,2,2,Steady State
1997-10-31,0.4460886336949918,0.1366503244431997,0.26734181647686694,0.09322447475906534,0.05669475062587625,0,0,Crisis
1997-11-30,0.1518697165936059,0.05032145009265086,0.6778423387624023,0.07457958339087088,0.045386911160470146,2,2,Steady State
1997-12-31,0.12149577327476802,0.04025716007960089,0.44163038519380193,0.059663672554468555,0.3369530088973606,2,2,Steady State
1998-01-31,0.0971966310700233,0.03220573570251136,0.2855081354498897,0.04773093357765189,0.5373585641999237,4,2,Steady State
1998-02-28,0.07775729777220995,0.025764584214003718,0.222074666309748,0.4942139459807795,0.18018950572325873,3,2,Steady State
1998-03-31,0.062205838217809804,0.020611667371202964,0.6369658647512684,0.13606502507393642,0.14415160458578233,2,2,Steady State
1998-04-30,0.04976467057425911,0.01648936127832441,0.2456914775024862,0.10876169254536765,0.5792927980995626,4,2,Steady State
1998-05-31,0.03998452216592302,0.4146420892105003,0.19653699027697144,0.08700935403617278,0.2618270443104324,1,2,Steady State
1998-06-30,0.03188941328300253,0.10330211412185733,0.620711086193379,0.06960748335413783,0.17448990304762324,2,2,Steady State
1998-07-31,0.025517532508309362,0.10479988026314589,0.2328638810330907,0.055685986612076105,0.581132719583378,4,2,Steady State
1998-08-31,0.4844105772623574,0.07123265876449346,0.18629110481062028,0.04454878928966083,0.2135168698728679,0,0,Crisis
1998-09-30,0.12352847027380649,0.05698612701159481,0.5962741050703357,0.05239780174523321,0.17081349589902967,2,2,Steady State
1998-10-31,0.0988227714033663,0.045588901609275825,0.22255445191793471,0.4963830783506179,0.13665079671880537,3,2,Steady State
1998-11-30,0.07905821987371275,0.03647112128742067,0.1881908280178524,0.58695919344597,0.10932063737504431,3,3,Walking on Ice
1998-12-31,0.0632465743337348,0.029176897029936512,0.60630730196492,0.21381271677131422,0.0874565099000944,2,3,Walking on Ice
1999-01-31,0.050597259466997814,0.023341517624189737,0.6773303494357719,0.1696437403564831,0.07908713311655749,2,2,Steady State
1999-02-28,0.04047995649992789,0.4826710230861838,0.28305434136597746,0.13571499135564163,0.05807968769226938,1,2,Steady State
1999-03-31,0.03238274253495846,0.1221380650798096,0.6904342678621913,0.10858017712629359,0.046464747396747,2,2,Steady State
1999-04-30,0.02590619432409998,0.09771045206384772,0.7517143662934079,0.0874977463335838,0.037171240985060645,2,2,Steady State
1999-05-31,0.020732849811872525,0.5421086001973228,0.3377346554488516,0.06963504852697482,0.029788846014978287,1,2,Steady State
1999-06-30,0.01658178813922715,0.16972088236430524,0.734138436630741,0.05575732650365272,0.023801566362074065,2,2,Steady State
1999-07-31,0.01326873115112588,0.533348503795292,0.32333879232244167,0.044577818211400486,0.0854661545197399,1,2,Steady State
1999-08-31,0.010613107328926927,0.2083985565648966,0.25867103388714685,0.03566225456912052,0.4866550476499091,4,2,Steady State
1999-09-30,0.008490515385526582,0.6069360357029607,0.20693682709310746,0.028529803655295536,0.14910681816310978,1,2,Steady State
