iteration,seed,active_regimes,block_size,max_components,weight_threshold,alpha_prior,master_seed
483,3629236252,7,120,10,0.05,0.1,42
484,1531044197,3,120,10,0.05,0.1,42
485,1537472448,5,120,10,0.05,0.1,42
486,3048783755,6,120,10,0.05,0.1,42
487,359070475,4,120,10,0.05,0.1,42
488,2100320420,3,120,10,0.05,0.1,42
489,564602692,5,120,10,0.05,0.1,42
490,2930232724,5,120,10,0.05,0.1,42
491,618375190,7,120,10,0.05,0.1,42
492,1443911188,5,120,10,0.05,0.1,42
493,2876184588,6,120,10,0.05,0.1,42
494,1830644846,6,120,10,0.05,0.1,42
495,3674275309,6,120,10,0.05,0.1,42
496,1269400285,4,120,10,0.05,0.1,42
497,1294107841,4,120,10,0.05,0.1,42
498,3347277296,3,120,10,0.05,0.1,42
499,342163624,4,120,10,0.05,0.1,42
500,312679495,4,120,10,0.05,0.1,42
501,3195126802,4,120,10,0.05,0.1,42
502,2216391208,3,120,10,0.05,0.1,42
503,2513337123,8,120,10,0.05,0.1,42
504,3210283277,4,120,10,0.05,0.1,42
505,3895900373,4,120,10,0.05,0.1,42
506,2056826283,5,120,10,0.05,0.1,42
507,2752414019,2,120,10,0.05,0.1,42
508,3319781659,6,120,10,0.05,0.1,42
509,3169792396,5,120,10,0.05,0.1,42
510,3017961873,5,120,10,0.05,0.1,42
511,1844423298,5,120,10,0.05,0.1,42
512,2233673495,6,120,10,0.05,0.1,42
513,3415174252,5,120,10,0.05,0.1,42
514,1381417765,6,120,10,0.05,0.1,42
515,3143964200,4,120,10,0.05,0.1,42
516,2524006613,3,120,10,0.05,0.1,42
517,382743219,5,120,10,0.05,0.1,42
518,891347475,4,120,10,0.05,0.1,42
519,4232916768,6,120,10,0.05,0.1,42
520,1751788158,6,120,10,0.05,0.1,42
521,3800070243,4,120,10,0.05,0.1,42
522,2354457189,5,120,10,0.05,0.1,42
523,1316033468,4,120,10,0.05,0.1,42
524,1490193494,5,120,10,0.05,0.1,42
525,2601549939,4,120,10,0.05,0.1,42
526,2953567864,6,120,10,0.05,0.1,42
527,1550227339,3,120,10,0.05,0.1,42
528,3500590418,6,120,10,0.05,0.1,42
529,2340244126,4,120,10,0.05,0.1,42
530,2801369994,6,120,10,0.05,0.1,42
531,3013401169,4,120,10,0.05,0.1,42
532,1933580324,6,120,10,0.05,0.1,42
533,715270337,5,120,10,0.05,0.1,42
534,3590248141,4,120,10,0.05,0.1,42
535,1427326718,6,120,10,0.05,0.1,42
536,747380312,4,120,10,0.05,0.1,42
537,647229040,6,120,10,0.05,0.1,42
538,832383918,7,120,10,0.05,0.1,42
539,3643368292,6,120,10,0.05,0.1,42
540,3835540953,3,120,10,0.05,0.1,42
541,1751055677,7,120,10,0.05,0.1,42
542,246229982,5,120,10,0.05,0.1,42
543,83011743,4,120,10,0.05,0.1,42
544,3808751024,6,120,10,0.05,0.1,42
545,822184674,4,120,10,0.05,0.1,42
546,2091492058,7,120,10,0.05,0.1,42
547,277205704,5,120,10,0.05,0.1,42
548,2702074410,5,120,10,0.05,0.1,42
549,2120995336,5,120,10,0.05,0.1,42
550,3650110371,8,120,10,0.05,0.1,42
551,3739331212,4,120,10,0.05,0.1,42
552,3108300752,7,120,10,0.05,0.1,42
553,1853750430,4,120,10,0.05,0.1,42
554,15791043,7,120,10,0.05,0.1,42
555,1024757721,3,120,10,0.05,0.1,42
556,2648421599,6,120,10,0.05,0.1,42
557,2021022485,3,120,10,0.05,0.1,42
558,4075561887,6,120,10,0.05,0.1,42
559,2229250098,5,120,10,0.05,0.1,42
560,3608374631,7,120,10,0.05,0.1,42
561,759108828,8,120,10,0.05,0.1,42
562,751148726,6,120,10,0.05,0.1,42
563,3752093033,5,120,10,0.05,0.1,42
564,4093615131,5,120,10,0.05,0.1,42
565,4072678563,3,120,10,0.05,0.1,42
566,3964676707,5,120,10,0.05,0.1,42
567,207664269,5,120,10,0.05,0.1,42
568,947230497,4,120,10,0.05,0.1,42
569,2787142339,6,120,10,0.05,0.1,42
570,3991407323,6,120,10,0.05,0.1,42
571,3090740085,4,120,10,0.05,0.1,42
572,111936360,5,120,10,0.05,0.1,42
573,3842119777,2,120,10,0.05,0.1,42
574,4250529578,3,120,10,0.05,0.1,42
575,3179752682,5,120,10,0.05,0.1,42
576,1398646889,3,120,10,0.05,0.1,42
577,1385718139,3,120,10,0.05,0.1,42
578,3381586173,7,120,10,0.05,0.1,42
579,947974093,5,120,10,0.05,0.1,42
580,35939712,5,120,10,0.05,0.1,42
581,1650259519,4,120,10,0.05,0.1,42
582,1803635890,4,120,10,0.05,0.1,42
583,2579284177,6,120,10,0.05,0.1,42
584,1278490400,4,120,10,0.05,0.1,42
585,2781208358,3,120,10,0.05,0.1,42
586,3978353427,5,120,10,0.05,0.1,42
587,1299466937,7,120,10,0.05,0.1,42
588,3747324639,8,120,10,0.05,0.1,42
589,28800724,4,120,10,0.05,0.1,42
590,3579489065,5,120,10,0.05,0.1,42
591,1276681717,6,120,10,0.05,0.1,42
592,1227411420,3,120,10,0.05,0.1,42
593,3929462741,6,120,10,0.05,0.1,42
594,1872452328,5,120,10,0.05,0.1,42
595,763961924,3,120,10,0.05,0.1,42
596,2727024367,5,120,10,0.05,0.1,42
597,3029207789,6,120,10,0.05,0.1,42
598,1012608872,3,120,10,0.05,0.1,42
599,2065392374,6,120,10,0.05,0.1,42
600,1976376857,5,120,10,0.05,0.1,42
601,812872848,4,120,10,0.05,0.1,42
602,2926740545,8,120,10,0.05,0.1,42
603,3401984651,5,120,10,0.05,0.1,42
604,2552793708,6,120,10,0.05,0.1,42
605,737717915,4,120,10,0.05,0.1,42
606,305686347,4,120,10,0.05,0.1,42
607,1922041085,5,120,10,0.05,0.1,42
